card_id,card_network,card_type
C06075-K1,american express,credit
C07096-K1,mastercard,debit
C07096-K2,,
C11919-K1,mastercard,credit
C11919-K2,,
C07867-K1,mastercard,debit
C07867-K2,,
C06743-K1,mastercard,debit
C10193-K1,visa,debit
C10193-K2,,
C11923-K1,visa,debit
C11923-K2,,
C08925-K1,mastercard,debit
C09301-K1,mastercard,debit
C09301-K2,,
C03218-K1,visa,debit
C03218-K2,,
C08945-K1,visa,debit
C08945-K2,,
C06598-K1,visa,credit
C08662-K1,visa,debit
C11709-K1,mastercard,debit
C11709-K2,,
C07648-K1,visa,debit
C07648-K2,,
C03575-K1,visa,debit
C03575-K2,,
C03847-K1,mastercard,debit
C10234-K1,visa,debit
C10234-K2,,
C09711-K1,visa,debit
C09339-K1,visa,debit
C03622-K1,visa,credit
C05704-K1,visa,credit
C05704-K2,,
C09947-K1,mastercard,debit
C05283-K1,visa,debit
C12942-K1,visa,credit
C12942-K2,visa,credit
C12942-K3,,
C01109-K1,visa,debit
C01109-K2,,
C09363-K1,visa,debit
C09363-K2,,
C01525-K1,visa,debit
C01525-K2,,
C01909-K1,visa,debit
C01909-K2,,
C10906-K1,visa,debit
C12593-K1,visa,debit
C12593-K2,,
C12961-K1,visa,credit
C12961-K2,,
C03363-K1,mastercard,debit
C03363-K2,mastercard,debit
C03363-K3,,
C02354-K1,visa,debit
C02354-K2,,
C10745-K1,visa,debit
C04108-K1,mastercard,credit
C04108-K2,,
C07870-K1,mastercard,debit
C07870-K2,,
C10333-K1,mastercard,debit
C13171-K1,visa,credit
C13171-K2,,
C02231-K1,discover,credit
C02231-K2,discover,credit
C02231-K3,discover,debit
C05362-K1,mastercard,credit
C04960-K1,visa,debit
C11000-K1,mastercard,credit
C11000-K2,,
C10679-K1,visa,debit
C01953-K1,visa,debit
C01953-K2,,
C09221-K1,visa,debit
C09221-K2,,
C12758-K1,visa,credit
C08924-K1,visa,credit
C08924-K2,,
C11625-K1,mastercard,debit
C11625-K2,mastercard,debit
C11625-K3,,
C04105-K1,visa,debit
C04105-K2,,
C00750-K1,discover,credit
C00750-K2,discover,credit
C00750-K3,discover,credit
C00750-K4,,
C09486-K1,visa,debit
C04597-K1,mastercard,debit
C04597-K2,,
C12517-K1,visa,debit
C12517-K2,,
C05854-K1,visa,debit
C03230-K1,mastercard,debit
C12136-K1,visa,credit
C12136-K2,,
C06872-K1,mastercard,debit
C06872-K2,mastercard,debit
C06248-K1,mastercard,debit
C12094-K1,visa,debit
C12094-K2,,
C05312-K1,visa,debit
C05312-K2,visa,debit
C08742-K1,visa,debit
C09276-K1,visa,debit
C12234-K1,visa,debit
C12234-K2,,
C08842-K1,visa,debit
C08842-K2,,
C07505-K1,visa,debit
C13001-K1,visa,debit
C08037-K1,visa,debit
C09936-K1,visa,debit
C00259-K1,visa,credit
C12863-K1,mastercard,debit
C08841-K1,mastercard,debit
C02515-K1,visa,debit
C02515-K2,,
C08605-K1,mastercard,debit
C09998-K1,visa,debit
C05560-K1,visa,credit
C05560-K2,,
C01828-K1,visa,debit
C01828-K2,,
C09872-K1,visa,credit
C09253-K1,mastercard,debit
C08391-K1,mastercard,debit
C08391-K2,,
C01048-K1,visa,debit
C01048-K2,visa,debit
C03047-K1,visa,debit
C03047-K2,,
C00272-K1,visa,debit
C06791-K1,visa,debit
C10656-K1,mastercard,debit
C09405-K1,mastercard,credit
C05622-K1,visa,debit
C05622-K2,,
C03277-K1,visa,credit
C11464-K1,visa,debit
C11464-K2,,
C07212-K1,visa,credit
C07212-K2,visa,credit
C07212-K3,,
C02250-K1,mastercard,credit
C02250-K2,,
C05689-K1,mastercard,debit
C05689-K2,,
C01154-K1,visa,credit
C02331-K1,visa,credit
C10755-K1,visa,credit
C05078-K1,visa,debit
C11227-K1,visa,credit
C11227-K2,,
C02342-K1,visa,debit
C12907-K1,mastercard,debit
C05996-K1,mastercard,debit
C05996-K2,mastercard,credit
C08027-K1,mastercard,debit
C08027-K2,,
C06055-K1,mastercard,debit
C12682-K1,mastercard,credit
C10270-K1,visa,debit
C12598-K1,visa,debit
C12598-K2,,
C12982-K1,visa,credit
C06147-K1,visa,debit
C06147-K2,visa,debit
C06147-K3,,
C13440-K1,mastercard,debit
C13440-K2,mastercard,debit
C13440-K3,,
C03351-K1,mastercard,credit
C03351-K2,,
C12722-K1,visa,credit
C04361-K1,visa,debit
C04361-K2,,
C00614-K1,visa,debit
C00614-K2,,
C10867-K1,visa,debit
C10867-K2,,
C10852-K1,mastercard,credit
C06885-K1,mastercard,debit
C06811-K1,mastercard,debit
C09671-K1,mastercard,credit
C07033-K1,visa,debit
C03771-K1,visa,debit
C09165-K1,mastercard,credit
C09165-K2,,
C12084-K1,visa,debit
C12084-K2,,
C03851-K1,mastercard,debit
C03851-K2,mastercard,debit
C03851-K3,,
C01333-K1,visa,debit
C01333-K2,,
C01521-K1,visa,credit
C01521-K2,visa,credit
C01521-K3,,
C09750-K1,mastercard,debit
C00844-K1,visa,credit
C07220-K1,visa,credit
C01563-K1,visa,credit
C01954-K1,mastercard,debit
C13449-K1,mastercard,debit
C13449-K2,mastercard,debit
C10955-K1,mastercard,credit
C10955-K2,,
C10516-K1,mastercard,debit
C04582-K1,visa,debit
C02134-K1,visa,debit
C02134-K2,,
C00331-K1,visa,debit
C02608-K1,visa,debit
C06403-K1,visa,debit
C06403-K2,visa,debit
C06403-K3,,
C05196-K1,visa,debit
C00969-K1,visa,debit
C00969-K2,,
C00732-K1,visa,debit
C00094-K1,mastercard,debit
C00094-K2,mastercard,debit
C00094-K3,mastercard,credit
C00094-K4,,
C02902-K1,visa,debit
C02902-K2,,
C03412-K1,visa,credit
C10239-K1,mastercard,debit
C07058-K1,visa,debit
C11883-K1,american express,credit
C03474-K1,visa,credit
C03474-K2,visa,credit
C03649-K1,mastercard,debit
C05958-K1,mastercard,credit
C07803-K1,mastercard,debit
C12124-K1,visa,debit
C12124-K2,,
C07523-K1,visa,debit
C09184-K1,mastercard,debit
C05128-K1,visa,debit
C04034-K1,mastercard,credit
C04034-K2,,
C03556-K1,visa,debit
C03556-K2,visa,debit
C08120-K1,visa,debit
C05961-K1,visa,debit
C05098-K1,mastercard,debit
C10778-K1,mastercard,credit
C05276-K1,visa,debit
C05276-K2,,
C11309-K1,visa,credit
C05277-K1,mastercard,debit
C10397-K1,visa,debit
C04313-K1,visa,credit
C11873-K1,mastercard,debit
C11873-K2,,
C10553-K1,visa,debit
C05010-K1,mastercard,credit
C11929-K1,visa,debit
C11929-K2,,
C08749-K1,visa,debit
C06678-K1,visa,debit
C13372-K1,mastercard,credit
C09827-K1,mastercard,debit
C09827-K2,,
C05258-K1,mastercard,debit
C05258-K2,mastercard,debit
C01959-K1,american express,credit
C03883-K1,,
C07227-K1,mastercard,debit
C07227-K2,,
C03858-K1,visa,debit
C07504-K1,mastercard,debit
C04707-K1,visa,debit
C11917-K1,mastercard,debit
C11468-K1,mastercard,credit
C11468-K2,mastercard,debit
C07936-K1,visa,debit
C07936-K2,,
C00773-K1,mastercard,debit
C00773-K2,,
C01347-K1,visa,credit
C01347-K2,,
C11294-K1,mastercard,credit
C11294-K2,,
C10911-K1,mastercard,debit
C02575-K1,mastercard,debit
C02575-K2,,
C11743-K1,mastercard,debit
C11743-K2,,
C09286-K1,mastercard,debit
C09286-K2,mastercard,debit
C12426-K1,visa,debit
C12426-K2,visa,debit
C04893-K1,visa,debit
C12311-K1,mastercard,debit
C12311-K2,,
C07858-K1,visa,debit
C07858-K2,,
C04543-K1,mastercard,debit
C04543-K2,,
C12417-K1,mastercard,debit
C00129-K1,visa,debit
C00129-K2,,
C01254-K1,mastercard,debit
C08072-K1,visa,credit
C04383-K1,mastercard,debit
C04798-K1,visa,debit
C04798-K2,,
C09666-K1,visa,debit
C09666-K2,,
C04696-K1,visa,credit
C08824-K1,visa,debit
C09876-K1,mastercard,credit
C05876-K1,visa,debit
C05876-K2,,
C07871-K1,visa,credit
C12894-K1,visa,debit
C04026-K1,visa,debit
C01974-K1,visa,debit
C04693-K1,visa,debit
C10364-K1,visa,debit
C09981-K1,visa,debit
C09981-K2,,
C08181-K1,visa,debit
C12833-K1,american express,credit
C05782-K1,visa,debit
C05782-K2,,
C10661-K1,visa,debit
C07456-K1,mastercard,debit
C07456-K2,,
C08913-K1,visa,credit
C08913-K2,,
C09159-K1,mastercard,debit
C12572-K1,mastercard,debit
C12572-K2,mastercard,debit
C11522-K1,visa,credit
C11522-K2,visa,credit
C11522-K3,,
C11061-K1,american express,credit
C03171-K1,mastercard,debit
C10800-K1,mastercard,debit
C10687-K1,visa,credit
C02817-K1,mastercard,debit
C03714-K1,mastercard,debit
C07671-K1,mastercard,debit
C07671-K2,,
C08614-K1,visa,debit
C12489-K1,american express,credit
C11381-K1,mastercard,debit
C11381-K2,,
C01308-K1,visa,debit
C00823-K1,mastercard,debit
C00424-K1,visa,debit
C09342-K1,visa,debit
C13033-K1,visa,debit
C12738-K1,visa,debit
C02480-K1,visa,credit
C03415-K1,mastercard,credit
C08269-K1,visa,debit
C12030-K1,visa,credit
C12030-K2,visa,credit
C12345-K1,visa,debit
C11082-K1,visa,credit
C04865-K1,mastercard,credit
C03320-K1,visa,debit
C08899-K1,visa,debit
C02309-K1,visa,debit
C02309-K2,,
C02380-K1,mastercard,debit
C11539-K1,visa,credit
C11539-K2,,
C12829-K1,visa,credit
C03405-K1,visa,debit
C03405-K2,,
C01374-K1,mastercard,debit
C01374-K2,,
C06253-K1,mastercard,debit
C04762-K1,visa,debit
C07919-K1,visa,debit
C07919-K2,,
C10715-K1,mastercard,debit
C10715-K2,,
C06888-K1,american express,credit
C06890-K1,mastercard,credit
C05595-K1,mastercard,debit
C05595-K2,mastercard,credit
C00051-K1,mastercard,credit
C02923-K1,visa,credit
C12676-K1,visa,credit
C08598-K1,visa,credit
C01252-K1,mastercard,credit
C05443-K1,visa,debit
C07387-K1,visa,debit
C06481-K1,visa,debit
C06481-K2,,
C09584-K1,visa,debit
C04478-K1,mastercard,debit
