case_id,flagged_txn_id,card_id,customer_id,trigger_type,risk_score
HHG-001,3514030,C12382-K1,C12382,model_alert,0.61
HHG-002,3478782,C11891-K1,C11891,model_alert,0.79
HHG-003,3530164,C08623-K2,C08623,customer_report,
HHG-004,3583227,C08106-K1,C08106,model_alert,
HHG-005,3523199,C02923-K1,C02923,model_alert,0.54
HHG-006,3476682,C07297-K1,C07297,customer_report,
HHG-007,3514948,C09933-K2,C09933,model_alert,0.87
HHG-008,3558054,C13171-K2,C13171,customer_report,
HHG-009,3581141,C08299-K1,C08299,model_alert,
HHG-010,3506725,C10434-K1,C10434,model_alert,0.90
HHG-011,3583368,C11923-K2,C11923,model_alert,
HHG-012,3553342,C05876-K2,C05876,model_alert,0.55
HHG-013,3526826,C07671-K2,C07671,model_alert,0.76
HHG-014,3478561,C13487-K1,C13487,customer_report,
HHG-015,3464869,C03042-K1,C03042,model_alert,0.77
HHG-016,3534820,C09988-K1,C09988,model_alert,
HHG-017,3450629,C04570-K1,C04570,model_alert,0.57
HHG-018,3491361,C02354-K2,C02354,customer_report,
HHG-019,3503878,C07987-K2,C07987,model_alert,0.90
HHG-020,3509359,C12265-K2,C12265,model_alert,0.52
