device_key,device_info,os,browser,screen,is_new_flag
1251cde029ae,SM-T810 Build/NRD90M,Android 7.0,chrome 62.0 for android,2048x1536,Found
ce4b5403d33d,Moto G (5) Plus Build/NPN25.137-72,,android webview 4.0,,New
b07213b54c4b,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,New
56be3567a4a2,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,Found
31b2f7bf335d,Moto G (5) Build/NPP25.137-72,,chrome generic,,Found
a0018bd366d4,ALE-L23 Build/HuaweiALE-L23,,chrome 46.0 for android,,New
5f3cb89e1d69,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750,Found
49672d6dde32,Z836BL,Android 6.0.1,chrome 53.0 for android,855x480,New
adafd9b7a2e8,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750,Found
f59447ee97c4,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,,New
f5875d642aff,LG-K580 Build/MRA58K,,chrome 62.0 for android,,New
8aa69113ab68,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,Found
f0d3e241bf4d,SAMSUNG SM-G930T Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,New
e036a2bdcdcb,Moto G (4) Build/NPJ25.93-14.5,,chrome generic,,New
8c52ae837970,SM-T710 Build/NRD90M,,chrome 62.0 for android,,Found
e4ef0d9d69c9,SAMSUNG,,chrome generic,,New
af0ab2ee514e,F3113 Build/33.2.A.4.70,,chrome 62.0 for android,,Found
4960e6ada4d4,D5306 Build/19.4.A.0.182,,chrome 62.0 for android,,Found
581ca4bed9ce,RCT6303W87M7 Build/MRA58K,Android 6.0,chrome 62.0 for android,1280x800,Unknown
8dee7f801ff5,SAMSUNG-SM-G870A Build/MMB29M,Android 6.0.1,chrome 62.0 for android,1920x1080,New
d52798711352,Blade V6 Build/LRX22G,,chrome 62.0 for android,,New
8b9aab967308,SAMSUNG SM-J700M Build/MMB29K,,samsung browser 6.2,,New
e718315efa0f,SM-G955U Build/NRD90M,Android 7.0,chrome 62.0 for android,,New
5333a9d890c0,SM-G531H Build/LMY48B,,chrome 62.0 for android,,New
317127dce5b6,SM-J727U Build/NRD90M,,chrome 58.0 for android,,Found
9ad0561de197,Blade V6 Plus Build/MRA58K,,chrome 62.0 for android,,Found
daaa92c06c9b,Moto C Build/NRD90M.063,,chrome 62.0 for android,,New
a8ebe858962e,LG-K428 Build/MMB29M,Android 6.0.1,chrome 59.0 for android,1280x720,Found
65bcf6f49d6f,LG-K428 Build/MMB29M,Android 6.0.1,chrome 59.0 for android,1280x720,New
ffbfbedb82ba,SM-J327V Build/NRD90M,Android 7.0,chrome 62.0 for android,1280x720,New
3e5038838ce3,QTASUN1 Build/NRD90M,Android 7.0,chrome 56.0 for android,1920x1200,Found
4e77e59a4578,LG-D693n Build/LRX22G,,chrome 60.0 for android,,Found
2032b6aa3f13,HUAWEI RIO-L03 Build/HUAWEIRIO-L03,,chrome 62.0 for android,,Found
e779792d93ff,HTC 10 Build/NRD90M,Android 7.0,chrome 62.0 for android,2560x1440,New
4a939d47d533,SM-G550T Build/MMB29K,Android 6.0.1,chrome 59.0 for android,1280x720,Found
9ae67f4a19eb,SM-G550T Build/MMB29K,Android 6.0.1,chrome 59.0 for android,1280x720,New
d1b4b9c00a55,5012G Build/MRA58K,,chrome 55.0 for android,,Found
0bb7d2925b83,SAMSUNG SM-T587P Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1200,Found
94bc2538a815,LG-V410,Android 5.0.2,chrome 61.0 for android,,Found
7754db37d51e,Windows,Windows 7,chrome 62.0,1280x1024,Found
93a89b28260c,Windows,Windows 7,chrome 62.0,1280x1024,Found
073e819c7853,SAMSUNG SM-G891A Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,Found
81e640b23bb1,Moto,Android 7.0,chrome generic,1920x1080,New
4560444cc39e,SAMSUNG SM-G891A Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,Found
53f1d42937ee,SM-J727V Build/NRD90M,Android 7.0,chrome 62.0 for android,1280x720,Unknown
126aaf521808,Blade V6 Plus Build/MRA58K,,chrome 62.0 for android,,Found
af85833a8457,SM-G550T Build/MMB29K,Android 6.0.1,chrome 59.0 for android,1280x720,Found
82af0652d603,SM-G532M Build/MMB29T,,chrome 60.0 for android,,New
092c25614ca0,GT-P5113,Android,chrome 62.0 for android,1280x800,Found
4274d29cd3e5,iOS Device,iOS 11.0.0,mobile safari 11.0,1334x750,New
4d2febf2cb4d,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750,Found
30482999789a,XT1254 Build/MCG24.251-5-5,Android 6.0.1,chrome 62.0 for android,2560x1440,New
896bd20dc18d,iOS Device,iOS 11.0.3,mobile safari 11.0,2001x1125,New
e4a550fd79ea,LG-D331 Build/LRX22G,,chrome 60.0 for android,,New
423ec2b1354f,rv:11.0,Windows 7,ie 11.0 for desktop,,Found
11e6e8f33894,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,Found
dd606bb09602,Moto G (4) Build/NPJ25.93-14.5,,chrome generic,,New
49fee2e2d318,SM-G900V Build/MMB29M,Android 6.0.1,chrome 57.0 for android,1920x1080,New
a76cd497ed0f,Windows,Windows 10,chrome 62.0,1280x1024,Found
e6fd493b9d66,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,Found
1a73666d6695,rv:51.0,,firefox,,New
66f9ff60dda1,LG-M322,Android 7.0,chrome 62.0 for android,1280x720,Found
29be4225c543,LG-M322,Android 7.0,chrome 62.0 for android,1280x720,Found
d76dbf5d8808,SM-E500M Build/KTU84P,,chrome 62.0 for android,,New
ec29bb593a61,SM-G900T Build/MMB29M,Android 6.0.1,chrome 62.0 for android,1920x1080,New
9f9d2cf3568c,Z410,,chrome 62.0 for android,,New
e1ff3604ee96,SAMSUNG,Android 7.0,samsung browser 6.2,1920x1080,New
aa5b093f2b81,SAMSUNG,Android 7.0,samsung browser 6.2,1920x1080,Found
9c3d34038407,SM-N920G Build/NRD90M,,chrome 62.0 for android,,New
f9cba7f06e42,SAMSUNG SM-G950U1 Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,Found
5c80fd7da3cf,LG-H500 Build/LRX21Y,,chrome 59.0 for android,,New
4e1fa87e60ea,Aquaris,,chrome 61.0 for android,,New
12def0c0f6f6,BLADE A602 Build/MRA58K,,chrome 62.0 for android,,New
d3c6a5d33d0a,XT1635-02 Build/NPN26.118-22-2,,chrome 62.0 for android,,New
23d9d71f063c,SM-N920V Build/NRD90M,Android 7.0,chrome 62.0 for android,,Found
365d9339aba4,HUAWEI TAG-L13 Build/HUAWEITAG-L13,,chrome 62.0 for android,,Found
82692e0f37d1,SM-G900F Build/MMB29M,,chrome 62.0 for android,,New
b4caa6381b0b,SAMSUNG,Android 5.1.1,chrome generic,1920x1080,Found
2fa4eed12f33,M4 SS4450 Build/MRA58K,,other,,Found
