case_id,card_id
CC-2649,C00255-K1
CC-2649,C01935-K1
CC-2649,C03551-K2
CC-2649,C03744-K1
CC-2649,C04311-K1
CC-2649,C06197-K2
CC-2649,C06617-K1
CC-2649,C07485-K1
CC-2649,C07762-K1
CC-2649,C08112-K2
CC-2649,C09174-K1
CC-2649,C09354-K1
CC-2649,C09733-K1
CC-2649,C09998-K1
CC-2649,C10350-K1
CC-2649,C10955-K2
CC-2649,C11468-K2
CC-2649,C11687-K2
CC-2649,C12033-K1
CC-2649,C12132-K2
CC-2649,C12395-K2
CC-2649,C12574-K1
CC-2649,C12900-K2
CC-2971,C00255-K1
CC-2971,C01935-K1
CC-2971,C03528-K1
CC-2971,C03551-K2
CC-2971,C03744-K1
CC-2971,C04311-K1
CC-2971,C06197-K2
CC-2971,C06617-K1
CC-2971,C07485-K1
CC-2971,C07762-K1
CC-2971,C08112-K2
CC-2971,C09174-K1
CC-2971,C09354-K1
CC-2971,C09733-K1
CC-2971,C10350-K1
CC-2971,C10955-K2
CC-2971,C11468-K2
CC-2971,C11687-K2
CC-2971,C12033-K1
CC-2971,C12132-K2
CC-2971,C12395-K2
CC-2971,C12574-K1
CC-2971,C12900-K2
CC-2985,C00255-K1
CC-2985,C01935-K1
CC-2985,C03528-K1
CC-2985,C03551-K2
CC-2985,C03744-K1
CC-2985,C04311-K1
CC-2985,C06197-K2
CC-2985,C07485-K1
CC-2985,C07762-K1
CC-2985,C08112-K2
CC-2985,C09174-K1
CC-2985,C09354-K1
CC-2985,C09733-K1
CC-2985,C09998-K1
CC-2985,C10350-K1
CC-2985,C10955-K2
CC-2985,C11468-K2
CC-2985,C11687-K2
CC-2985,C12033-K1
CC-2985,C12132-K2
CC-2985,C12395-K2
CC-2985,C12574-K1
CC-2985,C12900-K2
CC-3035,C00255-K1
CC-3035,C01935-K1
CC-3035,C03528-K1
CC-3035,C03551-K2
CC-3035,C03744-K1
CC-3035,C04311-K1
CC-3035,C06197-K2
CC-3035,C06617-K1
CC-3035,C07485-K1
CC-3035,C07762-K1
CC-3035,C08112-K2
CC-3035,C09174-K1
CC-3035,C09354-K1
CC-3035,C09998-K1
CC-3035,C10350-K1
CC-3035,C10955-K2
CC-3035,C11468-K2
CC-3035,C11687-K2
CC-3035,C12033-K1
CC-3035,C12132-K2
CC-3035,C12395-K2
CC-3035,C12574-K1
CC-3035,C12900-K2
