case_id,card_id
CC-0001,C00259-K1
CC-0002,C06403-K2
CC-0003,C05876-K2
CC-0004,C13440-K2
CC-0005,C08945-K2
CC-0006,C11227-K2
CC-0007,C00732-K1
CC-0008,C03667-K1
CC-0009,C10112-K1
CC-0010,C03246-K1
CC-0011,C13259-K1
CC-0012,C07220-K1
CC-0013,C11464-K2
CC-0014,C01002-K1
CC-0015,C04597-K2
CC-0016,C03575-K2
CC-0017,C03651-K2
CC-0018,C06800-K1
CC-0019,C06208-K1
CC-0020,C11082-K1
CC-0021,C04265-K1
CC-0022,C07847-K2
CC-0023,C11309-K1
CC-0024,C06059-K2
CC-0025,C12311-K2
CC-0026,C08842-K2
CC-0027,C02999-K2
CC-0028,C07741-K2
CC-0029,C03277-K1
CC-0030,C04762-K1
CC-0031,C11923-K2
CC-0032,C09289-K1
CC-0033,C05704-K2
CC-0034,C03880-K1
CC-0035,C09196-K1
CC-0036,C03738-K2
CC-0037,C05996-K1
CC-0038,C02717-K1
CC-0039,C13061-K1
CC-0040,C08675-K1
CC-0041,C07648-K2
CC-0042,C12094-K2
CC-0043,C10164-K1
CC-0044,C06147-K2
CC-0045,C07212-K2
CC-0046,C01579-K1
CC-0047,C03108-K1
CC-0048,C11309-K1
CC-0049,C01638-K1
CC-0050,C09221-K2
CC-0051,C05976-K1
CC-0052,C11595-K1
CC-0053,C02000-K2
CC-0054,C05736-K1
CC-0055,C04248-K2
CC-0056,C13171-K2
CC-0057,C12598-K2
CC-0058,C03412-K1
CC-0059,C09165-K2
CC-0060,C03348-K1
CC-0061,C03699-K1
CC-0062,C07867-K2
CC-0063,C11000-K2
CC-0064,C13005-K1
CC-0065,C03839-K1
CC-0066,C10167-K1
CC-0067,C11844-K2
CC-0068,C09076-K1
CC-0069,C01471-K1
CC-0070,C12166-K2
CC-0071,C13372-K1
CC-0072,C12111-K1
CC-0073,C04597-K2
CC-0074,C11496-K2
CC-0075,C05385-K2
CC-0076,C05289-K2
CC-0077,C05385-K2
CC-0078,C00978-K1
CC-0079,C07149-K2
CC-0080,C00938-K1
CC-0081,C06940-K1
CC-0082,C00621-K2
CC-0083,C04201-K1
CC-0084,C12900-K2
CC-0085,C10585-K2
CC-0086,C05307-K2
CC-0087,C11031-K2
CC-0088,C02477-K1
CC-0089,C09354-K1
CC-0090,C00854-K2
CC-0091,C08913-K2
CC-0092,C12517-K2
CC-0093,C07073-K1
CC-0094,C12987-K1
CC-0095,C09301-K2
CC-0096,C13001-K1
CC-0097,C06988-K1
CC-0098,C07508-K2
CC-0099,C06348-K1
CC-0100,C10326-K1
CC-0101,C08075-K1
CC-0102,C02573-K2
CC-0103,C08860-K1
CC-0104,C09933-K2
CC-0105,C09908-K1
CC-0106,C10308-K1
CC-0107,C08945-K2
CC-0108,C11539-K2
CC-0109,C09885-K1
CC-0110,C07855-K1
CC-0111,C11965-K1
CC-0112,C05263-K2
CC-0113,C02575-K2
CC-0114,C06655-K1
CC-0115,C05245-K2
CC-0116,C06532-K2
CC-0117,C03409-K1
CC-0118,C04108-K2
CC-0119,C01981-K1
CC-0120,C09612-K1
CC-0121,C00750-K2
CC-0122,C11919-K2
CC-0123,C07196-K2
CC-0124,C08460-K1
CC-0125,C08466-K1
CC-0126,C04346-K2
CC-0127,C11513-K1
CC-0128,C02891-K1
CC-0129,C01982-K2
CC-0130,C08474-K1
CC-0131,C05029-K1
CC-0132,C10127-K2
CC-0133,C07936-K2
CC-0134,C13036-K1
CC-0135,C01521-K2
CC-0136,C03341-K2
CC-0137,C12982-K1
CC-0138,C01058-K1
CC-0139,C02480-K1
CC-0140,C13440-K2
CC-0141,C01347-K2
