txn_id_a,txn_id_b
3000001,3010642
3010642,3013900
3013900,3014089
3014089,3064523
3064523,3188119
3188119,3188122
3188122,3188124
3188124,3188139
3188139,3188198
3188198,3188206
3188206,3193358
3193358,3225692
3225692,3257949
3257949,3498241
3000002,3002939
3002939,3004174
3004174,3004758
3004758,3004897
3004897,3005962
3005962,3006717
3006717,3006787
3006787,3007152
3007152,3009439
3009439,3010224
3010224,3011537
3011537,3011694
3011694,3013209
3013209,3013589
3013589,3014026
3014026,3016114
3016114,3016373
3016373,3016855
3016855,3016939
3016939,3020792
3020792,3021452
3021452,3023759
3023759,3025243
3025243,3028788
3028788,3029347
3029347,3032717
3032717,3033644
3033644,3036511
3036511,3037826
3037826,3041968
3041968,3045150
3045150,3046742
3046742,3049052
3049052,3051327
3051327,3053836
3053836,3055794
3055794,3056535
3056535,3057407
3057407,3062153
3062153,3067824
3067824,3067899
3067899,3068382
3068382,3068650
3068650,3078913
3078913,3078969
3078969,3080278
3080278,3081266
3081266,3081623
3081623,3081641
3081641,3081647
3081647,3084058
3084058,3084940
3084940,3088669
3088669,3088706
3088706,3088741
3088741,3088828
3088828,3100438
3100438,3102498
3102498,3102518
3102518,3102835
3102835,3103347
3103347,3104137
3104137,3104936
3104936,3107654
3107654,3108398
3108398,3108487
3108487,3109160
3109160,3115794
3115794,3116466
3116466,3118038
3118038,3118883
3118883,3121678
3121678,3121835
3121835,3126584
3126584,3129600
3129600,3130695
3130695,3140299
3140299,3143206
3143206,3143487
3143487,3146968
3146968,3147753
3147753,3149225
3149225,3150708
3150708,3150794
3150794,3153927
3153927,3155262
3155262,3158423
3158423,3159807
3159807,3163042
3163042,3163818
3163818,3164505
3164505,3165131
3165131,3165618
3165618,3167826
3167826,3170549
3170549,3170611
3170611,3171687
3171687,3172348
3172348,3173917
3173917,3175622
3175622,3175629
3175629,3177176
3177176,3177623
3177623,3180009
3180009,3180370
3180370,3181386
3181386,3184013
3184013,3184352
3184352,3184394
3184394,3186770
3186770,3187793
3187793,3189412
3189412,3192627
3192627,3193890
3193890,3201140
3201140,3201321
3201321,3201639
3201639,3201656
3201656,3203705
3203705,3204385
3204385,3206613
3206613,3206979
3206979,3207320
3207320,3208363
3208363,3211384
3211384,3212081
3212081,3212722
3212722,3216471
3216471,3216736
3216736,3216780
3216780,3218777
3218777,3219400
3219400,3221233
3221233,3222952
3222952,3224299
3224299,3225672
3225672,3225820
3225820,3226385
3226385,3227674
3227674,3232109
3232109,3232445
3232445,3235204
3235204,3235668
3235668,3236969
3236969,3238796
3238796,3239420
3239420,3243072
3243072,3243099
3243099,3247015
3247015,3247415
3247415,3247855
3247855,3248151
