txn_id,domain
3000001,yahoo.com
3000002,gmail.com
3000003,hotmail.com
3000004,hotmail.com
3000006,hotmail.com
3000007,yahoo.com
3000008,gmail.com
3000009,gmail.com
3000010,gmail.com
3000013,gmail.com
3000014,gmail.com
3000015,hotmail.com
3000016,hotmail.com
3000017,gmail.com
3000018,hotmail.com
3000019,gmail.com
3000020,hotmail.com
3000021,yahoo.com
3000022,gmail.com
3000024,gmail.com
3000026,gmail.com
3000028,comcast.net
3000029,comcast.net
3000030,gmail.com
3000031,gmail.com
3000033,gmail.com
3000034,gmail.com
3000035,yahoo.com
3000036,gmail.com
3000038,anonymous.com
3000040,gmail.com
3000041,gmail.com
3000042,yahoo.com
3000043,gmail.com
3000044,gmail.com
3000045,yahoo.com
3000046,gmail.com
3000047,yahoo.com
3000048,live.com
3000049,yahoo.com
3000050,hotmail.com
3000051,gmail.com
3000052,gmail.com
3000053,hotmail.com
3000054,gmail.com
3000055,aol.com
3000057,hotmail.com
3000058,yahoo.com
3000059,yahoo.com
3000061,gmail.com
3000062,gmail.com
3000064,gmail.com
3000065,aol.com
3000066,gmail.com
3000067,yahoo.com
3000068,anonymous.com
3000069,icloud.com
3000073,aol.com
3000074,gmail.com
3000075,yahoo.com
3000076,anonymous.com
3000077,gmail.com
3000078,hotmail.com
3000079,hotmail.com
3000080,gmail.com
3000082,yahoo.com
3000083,gmail.com
3000084,gmail.com
3000086,hotmail.com
3000087,hotmail.com
3000089,msn.com
3000090,gmail.com
3000092,gmail.com
3000093,hotmail.com
3000094,gmail.com
3000095,gmail.com
3000096,yahoo.com
3000097,gmail.com
3000100,gmail.com
3000101,hotmail.com
3000102,yahoo.com
3000103,hotmail.com
3000104,gmail.com
3000105,yahoo.com
3000106,hotmail.com
3000107,hotmail.com
3000109,gmail.com
3000110,gmail.com
3000111,hotmail.com
3000113,hotmail.com
3000114,hotmail.com
3000115,aol.com
3000117,yahoo.com
3000118,yahoo.com
3000120,outlook.com
3000121,gmail.com
3000122,icloud.com
3000123,hotmail.com
3000124,yahoo.com
3000127,gmail.com
3000128,comcast.net
3000130,yahoo.com
3000132,yahoo.com
3000133,gmail.com
3000134,gmail.com
3000135,gmail.com
3000136,aol.com
3000137,hotmail.com
3000138,hotmail.com
3000139,gmail.com
3000140,gmail.com
3000141,yahoo.com
3000142,gmail.com
3000144,gmail.com
3000145,gmail.com
3000146,verizon.net
3000147,gmail.com
3000148,yahoo.com
3000150,aol.com
3000153,gmail.com
3000154,outlook.com
3000155,gmail.com
3000156,hotmail.com
3000157,yahoo.com
3000159,aol.com
3000160,gmail.com
3000161,gmail.com
3000162,yahoo.com
3000163,yahoo.com
3000164,hotmail.com
3000166,gmail.com
3000167,anonymous.com
3000168,gmail.com
3000169,yahoo.com
3000171,yahoo.com
3000172,gmail.com
3000173,anonymous.com
3000175,mac.com
3000176,yahoo.com
3000177,yahoo.com
3000178,yahoo.com.mx
3000179,comcast.net
3000181,gmail.com
3000182,yahoo.com
3000183,aol.com
3000184,gmail.com
3000185,gmail.com
3000186,yahoo.com.mx
3000187,sbcglobal.net
3000190,gmail.com
3000191,yahoo.com
3000192,gmail.com
3000193,gmail.com
3000194,gmail.com
3000195,gmail.com
3000196,hotmail.com
3000197,gmail.com
3000200,yahoo.com
3000202,earthlink.net
3000203,yahoo.com
3000204,gmail.com
3000205,gmail.com
3000206,yahoo.com
3000207,anonymous.com
3000209,gmail.com
3000210,aol.com
3000211,gmail.com
3000212,gmail.com
3000213,gmail.com
3000214,yahoo.com
3000215,hotmail.com
3000216,gmail.com
3000217,gmail.com
3000218,yahoo.com
3000219,icloud.com
3000220,comcast.net
3000221,yahoo.com
3000224,gmail.com
3000225,gmail.com
3000227,gmail.com
3000228,gmail.com
3000229,gmail.com
3000230,gmail.com
3000231,yahoo.com
3000232,hotmail.com
3000233,gmail.com
3000234,hotmail.com
3000235,gmail.com
3000236,gmail.com
3000237,gmail.com
3000238,anonymous.com
3000239,msn.com
3000240,gmail.com
3000241,gmail.com
3000242,hotmail.com
3000243,gmail.com
3000244,yahoo.com
3000245,hotmail.com
3000246,aol.com
3000247,gmail.com
3000248,yahoo.com
3000249,yahoo.com
3000250,gmail.com
3000251,yahoo.com
3000253,verizon.net
3000255,yahoo.com
3000256,yahoo.com
3000257,yahoo.com
3000259,comcast.net
3000260,hotmail.com
3000261,hotmail.com
3000262,gmail.com
3000264,ymail.com
3000267,anonymous.com
3000268,aol.com
3000269,gmail.com
3000271,gmail.com
3000272,gmail.com
3000273,hotmail.com
3000274,hotmail.com
3000275,comcast.net
